-596.345 -619.228 -642.828 -667.192 -692.377 -718.452 -745.497 -773.607 -802.891 -833.468 -865.463 -899.014 -934.28 -971.437 -1010.68 -1052.21 -1096.28 -1143.16 -1193.14 -1246.54 -1303.75 -1365.17 -1431.22 -1502.35 -1579.05 -1661.83 -1751.17 -1847.61 -1951.69 -2063.99 -2185.13 -2315.73 -2456.47 -2608.02 -2771.06 -2946.35 -3134.73 -3337.1 -3554.36 -3787.44 -4037.26 -4304.79 -4591.04 -4897.03 -5223.67 -5571.86 -5942.55 -6336.71 -6755.29 -7199.42 -7670.26 -8168.81 -8696.49 -9254.89 -9845.73 -10470.6 -11131 -11829.1 -12566.9 -13346.5 -14169.7 -15038.1 -15953.6 -16918.3 -17934.4 -19003.8 -20128.8 -21312.1 -22557.9 -23871.2 -25258 -26724.2 -28277.5 -29927.7 -31686.2 -33564.2 -35571.7 -37717.8 -40012.7 -42468.4 -45093.6 -47890.1 -50858.2 -54000.7 -57336.5 -60907.2 -64743.6 -68930.1 -73655.1 -79307.7 -86652.1 -96977.8 -112608 -138634 -186738 -285759 -515954 -286467 -3.57099e+06 -2.56998e+07 -8.00447e+08 -2.56998e+07 -3.57099e+06 -286467 -515954 -285759 -186738 -138634 -112608 -96977.8 -86652.1 -79307.7 -73655.1 -68930.1 -64743.6 -60907.2 -57336.5 -54000.7 -50858.2 -47890.1 -45093.6 -42468.4 -40012.7 -37717.8 -35571.7 -33564.2 -31686.2 -29927.7 -28277.5 -26724.2 -25258 -23871.2 -22557.9 -21312.1 -20128.8 -19003.8 -17934.4 -16918.3 -15953.6 -15038.1 -14169.7 -13346.5 -12566.9 -11829.1 -11131 -10470.6 -9845.73 -9254.89 -8696.49 -8168.81 -7670.26 -7199.42 -6755.29 -6336.71 -5942.55 -5571.86 -5223.67 -4897.03 -4591.04 -4304.79 -4037.26 -3787.44 -3554.36 -3337.1 -3134.73 -2946.35 -2771.06 -2608.02 -2456.47 -2315.73 -2185.13 -2063.99 -1951.69 -1847.61 -1751.17 -1661.83 -1579.05 -1502.35 -1431.22 -1365.17 -1303.75 -1246.54 -1193.14 -1143.16 -1096.28 -1052.21 -1010.68 -971.437 -934.28 -899.014 -865.463 -833.468 -802.891 -773.607 -745.497 -718.452 -692.377 -667.192 -642.828 -619.228 -596.345
-619.577 -643.357 -667.887 -693.216 -719.399 -746.506 -774.621 -803.845 -834.291 -866.085 -899.357 -934.25 -970.927 -1009.57 -1050.38 -1093.58 -1139.41 -1188.17 -1240.15 -1295.7 -1355.19 -1419.06 -1487.74 -1561.71 -1641.44 -1727.47 -1820.36 -1920.66 -2028.91 -2145.69 -2271.64 -2407.42 -2553.72 -2711.24 -2880.7 -3062.88 -3258.67 -3468.99 -3694.8 -3937.04 -4196.7 -4474.75 -4772.23 -5090.23 -5429.73 -5791.64 -6176.88 -6586.47 -7021.49 -7483.09 -7972.4 -8490.45 -9038.81 -9619.08 -10233.1 -10882.4 -11568.8 -12294.2 -13060.8 -13871 -14726.7 -15629.2 -16580.3 -17582.7 -18638.6 -19749.8 -20918.4 -22147.2 -23441 -24804.8 -26244.3 -27766.4 -29378.5 -31090 -32913.4 -34862.3 -36944.8 -39167.7 -41542.2 -44084.6 -46803.2 -49691.7 -52746.7 -55979.5 -59404.6 -63052.5 -66965.9 -71217.2 -75969.2 -81615.3 -88988.1 -99465.5 -115233 -140997 -189268 -291276 -131289 -288106 -3.57857e+06 -2.56921e+07 -7.97145e+08 -2.56921e+07 -3.57857e+06 -288106 -131289 -291276 -189268 -140997 -115233 -99465.5 -88988.1 -81615.3 -75969.2 -71217.2 -66965.9 -63052.5 -59404.6 -55979.5 -52746.7 -49691.7 -46803.2 -44084.6 -41542.2 -39167.7 -36944.8 -34862.3 -32913.4 -31090 -29378.5 -27766.4 -26244.3 -24804.8 -23441 -22147.2 -20918.4 -19749.8 -18638.6 -17582.7 -16580.3 -15629.2 -14726.7 -13871 -13060.8 -12294.2 -11568.8 -10882.4 -10233.1 -9619.08 -9038.81 -8490.45 -7972.4 -7483.09 -7021.49 -6586.47 -6176.88 -5791.64 -5429.73 -5090.23 -4772.23 -4474.75 -4196.7 -3937.04 -3694.8 -3468.99 -3258.67 -3062.88 -2880.7 -2711.24 -2553.72 -2407.42 -2271.64 -2145.69 -2028.91 -1920.66 -1820.36 -1727.47 -1641.44 -1561.71 -1487.74 -1419.06 -1355.19 -1295.7 -1240.15 -1188.17 -1139.41 -1093.58 -1050.38 -1009.57 -970.927 -934.25 -899.357 -866.085 -834.291 -803.845 -774.621 -746.506 -719.399 -693.216 -667.887 -643.357 -619.577
-616.785 -641.454 -667.365 -694.592 -723.213 -753.311 -784.977 -818.304 -853.396 -890.361 -929.315 -970.383 -1013.7 -1059.41 -1107.67 -1158.65 -1212.56 -1269.58 -1329.96 -1393.93 -1461.75 -1533.71 -1610.12 -1691.28 -1777.53 -1869.26 -1966.86 -2070.76 -2181.42 -2299.36 -2425.1 -2559.22 -2702.35 -2855.17 -3018.39 -3192.83 -3379.44 -3579.25 -3793.36 -4022.83 -4268.78 -4532.49 -4815.52 -5119.58 -5446.35 -5797.48 -6174.72 -6580.02 -7015.55 -7483.54 -7986.34 -8526.38 -9106.28 -9728.78 -10396.6 -11112.5 -11879.3 -12699.8 -13576.4 -14511.1 -15505.9 -16562.7 -17682.4 -18864.9 -20109.5 -21414.9 -22779.3 -24199.9 -25672.7 -27193.1 -28756.2 -30356.5 -31988.7 -33647.6 -35329.1 -37030.8 -38752.1 -40497 -42272.7 -44093.6 -45981.9 -47969.2 -50101.3 -52442.4 -55078.8 -58132.2 -61776.8 -66261.3 -71960 -79448.8 -89653.6 -104136 -125681 -159631 -217189 -324833 -139089 -587284 -3.5926e+06 -2.57073e+07 -7.95309e+08 -2.57073e+07 -3.5926e+06 -587284 -139089 -324833 -217189 -159631 -125681 -104136 -89653.6 -79448.8 -71960 -66261.3 -61776.8 -58132.2 -55078.8 -52442.4 -50101.3 -47969.2 -45981.9 -44093.6 -42272.7 -40497 -38752.1 -37030.8 -35329.1 -33647.6 -31988.7 -30356.5 -28756.2 -27193.1 -25672.7 -24199.9 -22779.3 -21414.9 -20109.5 -18864.9 -17682.4 -16562.7 -15505.9 -14511.1 -13576.4 -12699.8 -11879.3 -11112.5 -10396.6 -9728.78 -9106.28 -8526.38 -7986.34 -7483.54 -7015.55 -6580.02 -6174.72 -5797.48 -5446.35 -5119.58 -4815.52 -4532.49 -4268.78 -4022.83 -3793.36 -3579.25 -3379.44 -3192.83 -3018.39 -2855.17 -2702.35 -2559.22 -2425.1 -2299.36 -2181.42 -2070.76 -1966.86 -1869.26 -1777.53 -1691.28 -1610.12 -1533.71 -1461.75 -1393.93 -1329.96 -1269.58 -1212.56 -1158.65 -1107.67 -1059.41 -1013.7 -970.383 -929.315 -890.361 -853.396 -818.304 -784.977 -753.311 -723.213 -694.592 -667.365 -641.454 -616.785
-640.247 -665.879 -692.802 -721.092 -750.83 -782.103 -815.002 -849.627 -886.083 -924.481 -964.942 -1007.59 -1052.57 -1100.03 -1150.13 -1203.06 -1259 -1318.19 -1380.85 -1447.24 -1517.63 -1592.33 -1671.64 -1755.9 -1845.47 -1940.72 -2042.09 -2150.01 -2264.99 -2387.52 -2518.15 -2657.46 -2806.1 -2964.8 -3134.35 -3315.61 -3509.51 -3717.07 -3939.36 -4177.58 -4433.03 -4707.1 -5001.3 -5317.27 -5656.72 -6021.48 -6413.48 -6834.75 -7287.44 -7773.85 -8296.42 -8857.75 -9460.53 -10107.6 -10801.8 -11546 -12343.2 -13196.3 -14107.7 -15079.6 -16114 -17213.2 -18378.3 -19608.7 -20903.7 -22262.2 -23682.4 -25161.4 -26695 -28278.2 -29906 -31572.5 -33272 -34999.1 -36749.3 -38519.7 -40309.3 -42122.4 -43965.8 -45854.2 -47810.4 -49866.2 -52068.9 -54483.2 -57197.9 -60337.4 -64076.6 -68668.5 -74492.7 -82134.9 -92536.6 -107282 -129191 -163661 -222011 -330967 -141226 -594136 -3.62059e+06 -2.57978e+07 -7.94997e+08 -2.57978e+07 -3.62059e+06 -594136 -141226 -330967 -222011 -163661 -129191 -107282 -92536.6 -82134.9 -74492.7 -68668.5 -64076.6 -60337.4 -57197.9 -54483.2 -52068.9 -49866.2 -47810.4 -45854.2 -43965.8 -42122.4 -40309.3 -38519.7 -36749.3 -34999.1 -33272 -31572.5 -29906 -28278.2 -26695 -25161.4 -23682.4 -22262.2 -20903.7 -19608.7 -18378.3 -17213.2 -16114 -15079.6 -14107.7 -13196.3 -12343.2 -11546 -10801.8 -10107.6 -9460.53 -8857.75 -8296.42 -7773.85 -7287.44 -6834.75 -6413.48 -6021.48 -5656.72 -5317.27 -5001.3 -4707.1 -4433.03 -4177.58 -3939.36 -3717.07 -3509.51 -3315.61 -3134.35 -2964.8 -2806.1 -2657.46 -2518.15 -2387.52 -2264.99 -2150.01 -2042.09 -1940.72 -1845.47 -1755.9 -1671.64 -1592.33 -1517.63 -1447.24 -1380.85 -1318.19 -1259 -1203.06 -1150.13 -1100.03 -1052.57 -1007.59 -964.942 -924.481 -886.083 -849.627 -815.002 -782.103 -750.83 -721.092 -692.802 -665.879 -640.247
-664.39 -690.993 -718.935 -748.293 -779.154 -811.607 -845.747 -881.678 -919.508 -959.356 -1001.35 -1045.61 -1092.3 -1141.56 -1193.56 -1248.5 -1306.58 -1368.02 -1433.05 -1501.93 -1574.96 -1652.42 -1734.66 -1822.02 -1914.87 -2013.65 -2118.79 -2230.79 -2350.18 -2477.46 -2613.18 -2757.87 -2912.2 -3076.96 -3253.03 -3441.33 -3642.78 -3858.39 -4089.24 -4336.6 -4601.86 -4886.52 -5192.13 -5520.4 -5873.1 -6252.08 -6659.31 -7096.94 -7567.26 -8072.71 -8615.8 -9199.2 -9825.76 -10498.4 -11220.2 -11994.1 -12823.1 -13710.4 -14658.6 -15669.8 -16746.3 -17890.4 -19103.3 -20384.4 -21733.2 -23148.5 -24628.4 -26169.9 -27768.5 -29419.4 -31117 -32855.2 -34628.1 -36429.6 -38255 -40101 -41966 -43854.5 -45772.9 -47736.1 -49767.1 -51898.7 -54180 -56676.3 -59478 -62712.1 -66556.4 -71268.3 -77234 -85049.1 -95671.4 -110711 -133031 -168104 -227390 -337907 -143689 -602285 -3.65604e+06 -2.59389e+07 -7.96184e+08 -2.59389e+07 -3.65604e+06 -602285 -143689 -337907 -227390 -168104 -133031 -110711 -95671.4 -85049.1 -77234 -71268.3 -66556.4 -62712.1 -59478 -56676.3 -54180 -51898.7 -49767.1 -47736.1 -45772.9 -43854.5 -41966 -40101 -38255 -36429.6 -34628.1 -32855.2 -31117 -29419.4 -27768.5 -26169.9 -24628.4 -23148.5 -21733.2 -20384.4 -19103.3 -17890.4 -16746.3 -15669.8 -14658.6 -13710.4 -12823.1 -11994.1 -11220.2 -10498.4 -9825.76 -9199.2 -8615.8 -8072.71 -7567.26 -7096.94 -6659.31 -6252.08 -5873.1 -5520.4 -5192.13 -4886.52 -4601.86 -4336.6 -4089.24 -3858.39 -3642.78 -3441.33 -3253.03 -3076.96 -2912.2 -2757.87 -2613.18 -2477.46 -2350.18 -2230.79 -2118.79 -2013.65 -1914.87 -1822.02 -1734.66 -1652.42 -1574.96 -1501.93 -1433.05 -1368.02 -1306.58 -1248.5 -1193.56 -1141.56 -1092.3 -1045.61 -1001.35 -959.356 -919.508 -881.678 -845.747 -811.607 -779.154 -748.293 -718.935 -690.993 -664.39
-689.128 -716.713 -745.681 -776.113 -808.098 -841.729 -877.106 -914.339 -953.541 -994.836 -1038.36 -1084.24 -1132.65 -1183.74 -1237.69 -1294.7 -1354.98 -1418.75 -1486.25 -1557.76 -1633.55 -1713.95 -1799.29 -1889.92 -1986.26 -2088.73 -2197.8 -2313.98 -2437.82 -2569.86 -2710.66 -2860.79 -3020.95 -3191.95 -3374.69 -3570.12 -3779.25 -4003.15 -4242.98 -4500.01 -4775.6 -5071.25 -5388.6 -5729.44 -6095.65 -6489.2 -6912.19 -7366.83 -7855.45 -8380.56 -8944.82 -9551.06 -10202.3 -10901.5 -11652 -12456.9 -13319.4 -14242.6 -15229.5 -16282.4 -17403.5 -18595.2 -19858.8 -21193.9 -22600.1 -24076.2 -25620.2 -27228.7 -28897.3 -30621 -32394 -34209.9 -36062.3 -37944.9 -39852.4 -41781.4 -43729.2 -45701.3 -47703 -49749.5 -51864.4 -54080.4 -56448.3 -59034.4 -61931.4 -65269 -69229 -74074.6 -80199.6 -88210.5 -99082.3 -114453 -137236 -172992 -233349 -345679 -146491 -1.22358e+06 -3.69925e+06 -2.61324e+07 -7.98888e+08 -2.61324e+07 -3.69925e+06 -1.22358e+06 -146491 -345679 -233349 -172992 -137236 -114453 -99082.3 -88210.5 -80199.6 -74074.6 -69229 -65269 -61931.4 -59034.4 -56448.3 -54080.4 -51864.4 -49749.5 -47703 -45701.3 -43729.2 -41781.4 -39852.4 -37944.9 -36062.3 -34209.9 -32394 -30621 -28897.3 -27228.7 -25620.2 -24076.2 -22600.1 -21193.9 -19858.8 -18595.2 -17403.5 -16282.4 -15229.5 -14242.6 -13319.4 -12456.9 -11652 -10901.5 -10202.3 -9551.06 -8944.82 -8380.56 -7855.45 -7366.83 -6912.19 -6489.2 -6095.65 -5729.44 -5388.6 -5071.25 -4775.6 -4500.01 -4242.98 -4003.15 -3779.25 -3570.12 -3374.69 -3191.95 -3020.95 -2860.79 -2710.66 -2569.86 -2437.82 -2313.98 -2197.8 -2088.73 -1986.26 -1889.92 -1799.29 -1713.95 -1633.55 -1557.76 -1486.25 -1418.75 -1354.98 -1294.7 -1237.69 -1183.74 -1132.65 -1084.24 -1038.36 -994.836 -953.541 -914.339 -877.106 -841.729 -808.098 -776.113 -745.681 -716.713 -689.128
-713.579 -742.052 -771.971 -803.429 -836.531 -871.379 -908.076 -946.731 -987.461 -1030.39 -1075.64 -1123.36 -1173.69 -1226.79 -1282.85 -1342.05 -1404.63 -1470.81 -1540.86 -1615.06 -1693.7 -1777.12 -1865.67 -1959.71 -2059.67 -2165.97 -2279.11 -2399.59 -2527.99 -2664.87 -2810.8 -2966.41 -3132.44 -3309.74 -3499.28 -3702.07 -3919.12 -4151.49 -4400.38 -4667.12 -4953.21 -5260.22 -5589.84 -5943.87 -6324.23 -6732.96 -7172.25 -7644.42 -8151.95 -8697.47 -9283.77 -9913.81 -10590.8 -11317.9 -12098.5 -12935.9 -13833.5 -14794.5 -15822.1 -16918.9 -18087.2 -19329.4 -20646.8 -22039.5 -23506.8 -25047.7 -26660 -28340.3 -30084.2 -31886.5 -33741 -35641.3 -37579.9 -39550.7 -41548.9 -43568.8 -45609.2 -47672.7 -49766.4 -51905.1 -54111.2 -56421.6 -58886 -61570.4 -64571.5 -68024.8 -72112.6 -77106.7 -83411.8 -91644.1 -102797 -118540 -141840 -178360 -239924 -354326 -149648 -1.24544e+06 -3.75064e+06 -2.63824e+07 -8.03139e+08 -2.63824e+07 -3.75064e+06 -1.24544e+06 -149648 -354326 -239924 -178360 -141840 -118540 -102797 -91644.1 -83411.8 -77106.7 -72112.6 -68024.8 -64571.5 -61570.4 -58886 -56421.6 -54111.2 -51905.1 -49766.4 -47672.7 -45609.2 -43568.8 -41548.9 -39550.7 -37579.9 -35641.3 -33741 -31886.5 -30084.2 -28340.3 -26660 -25047.7 -23506.8 -22039.5 -20646.8 -19329.4 -18087.2 -16918.9 -15822.1 -14794.5 -13833.5 -12935.9 -12098.5 -11317.9 -10590.8 -9913.81 -9283.77 -8697.47 -8151.95 -7644.42 -7172.25 -6732.96 -6324.23 -5943.87 -5589.84 -5260.22 -4953.21 -4667.12 -4400.38 -4151.49 -3919.12 -3702.07 -3499.28 -3309.74 -3132.44 -2966.41 -2810.8 -2664.87 -2527.99 -2399.59 -2279.11 -2165.97 -2059.67 -1959.71 -1865.67 -1777.12 -1693.7 -1615.06 -1540.86 -1470.81 -1404.63 -1342.05 -1282.85 -1226.79 -1173.69 -1123.36 -1075.64 -1030.39 -987.461 -946.731 -908.076 -871.379 -836.531 -803.429 -771.971 -742.052 -713.579
-738.996 -768.516 -799.534 -832.144 -866.448 -902.549 -940.557 -980.586 -1022.76 -1067.21 -1114.08 -1163.51 -1215.66 -1270.71 -1328.84 -1390.27 -1455.21 -1523.91 -1596.64 -1673.67 -1755.32 -1841.91 -1933.8 -2031.37 -2135.04 -2245.26 -2362.51 -2487.32 -2620.26 -2761.94 -2913.04 -3074.25 -3246.38 -3430.27 -3626.84 -3837.11 -4062.16 -4303.17 -4561.44 -4838.35 -5135.44 -5454.32 -5796.68 -6164.34 -6559.28 -6983.68 -7439.85 -7930.21 -8457.29 -9023.87 -9633.01 -10288 -10991.9 -11748.1 -12560.1 -13431.4 -14365.8 -15366.7 -16437.2 -17580.2 -18798.5 -20094.2 -21468.9 -22922.6 -24455.1 -26065.2 -27750.6 -29508.1 -31333.8 -33221.3 -35163.4 -37155 -39188.6 -41256.5 -43352.8 -45472.5 -47613.7 -49778.1 -51973 -54212.9 -56520.8 -58934.2 -61504.4 -64298.7 -67416.9 -70998.1 -75229.1 -80388.6 -86891 -95366.8 -106831 -122989 -146870 -184253 -247182 -363930 -153188 -1.27029e+06 -3.81054e+06 -2.66851e+07 -8.08979e+08 -2.66851e+07 -3.81054e+06 -1.27029e+06 -153188 -363930 -247182 -184253 -146870 -122989 -106831 -95366.8 -86891 -80388.6 -75229.1 -70998.1 -67416.9 -64298.7 -61504.4 -58934.2 -56520.8 -54212.9 -51973 -49778.1 -47613.7 -45472.5 -43352.8 -41256.5 -39188.6 -37155 -35163.4 -33221.3 -31333.8 -29508.1 -27750.6 -26065.2 -24455.1 -22922.6 -21468.9 -20094.2 -18798.5 -17580.2 -16437.2 -15366.7 -14365.8 -13431.4 -12560.1 -11748.1 -10991.9 -10288 -9633.01 -9023.87 -8457.29 -7930.21 -7439.85 -6983.68 -6559.28 -6164.34 -5796.68 -5454.32 -5135.44 -4838.35 -4561.44 -4303.17 -4062.16 -3837.11 -3626.84 -3430.27 -3246.38 -3074.25 -2913.04 -2761.94 -2620.26 -2487.32 -2362.51 -2245.26 -2135.04 -2031.37 -1933.8 -1841.91 -1755.32 -1673.67 -1596.64 -1523.91 -1455.21 -1390.27 -1328.84 -1270.71 -1215.66 -1163.51 -1114.08 -1067.21 -1022.76 -980.586 -940.557 -902.549 -866.448 -832.144 -799.534 -768.516 -738.996
-765.08 -795.662 -827.794 -861.573 -897.103 -934.492 -973.852 -1015.3 -1058.97 -1105 -1153.53 -1204.71 -1258.72 -1315.73 -1375.95 -1439.58 -1506.87 -1578.06 -1653.43 -1733.28 -1817.94 -1907.74 -2003.05 -2104.28 -2211.84 -2326.19 -2447.85 -2577.33 -2715.23 -2862.15 -3018.78 -3185.82 -3364.1 -3554.53 -3758.16 -3976.08 -4209.4 -4459.3 -4727.1 -5014.25 -5322.31 -5653 -6008.13 -6389.65 -6799.65 -7240.36 -7714.15 -8223.56 -8771.3 -9360.25 -9993.5 -10674.3 -11406.2 -12192.7 -13037.5 -13944.6 -14917.4 -15960 -17075.6 -18267.5 -19538.5 -20890.8 -22325.9 -23844.7 -25447.1 -27131.8 -28896.3 -30737.2 -32650.1 -34629.2 -36668 -38759.2 -40895.3 -43068.5 -45271.8 -47500.5 -49751.8 -52027.3 -54333.9 -56686.1 -59107.3 -61635.9 -64324.1 -67241.2 -70489.5 -74211.9 -78600.2 -83939.9 -90656.7 -99398.9 -111209 -127834 -152373 -190723 -255176 -374559 -157138 -1.29835e+06 -3.87942e+06 -2.70461e+07 -8.16463e+08 -2.70461e+07 -3.87942e+06 -1.29835e+06 -157138 -374559 -255176 -190723 -152373 -127834 -111209 -99398.9 -90656.7 -83939.9 -78600.2 -74211.9 -70489.5 -67241.2 -64324.1 -61635.9 -59107.3 -56686.1 -54333.9 -52027.3 -49751.8 -47500.5 -45271.8 -43068.5 -40895.3 -38759.2 -36668 -34629.2 -32650.1 -30737.2 -28896.3 -27131.8 -25447.1 -23844.7 -22325.9 -20890.8 -19538.5 -18267.5 -17075.6 -15960 -14917.4 -13944.6 -13037.5 -12192.7 -11406.2 -10674.3 -9993.5 -9360.25 -8771.3 -8223.56 -7714.15 -7240.36 -6799.65 -6389.65 -6008.13 -5653 -5322.31 -5014.25 -4727.1 -4459.3 -4209.4 -3976.08 -3758.16 -3554.53 -3364.1 -3185.82 -3018.78 -2862.15 -2715.23 -2577.33 -2447.85 -2326.19 -2211.84 -2104.28 -2003.05 -1907.74 -1817.94 -1733.28 -1653.43 -1578.06 -1506.87 -1439.58 -1375.95 -1315.73 -1258.72 -1204.71 -1153.53 -1105 -1058.97 -1015.3 -973.852 -934.492 -897.103 -861.573 -827.794 -795.662 -765.08
-792.357 -824.087 -857.413 -892.43 -929.241 -967.954 -1008.69 -1051.57 -1096.72 -1144.3 -1194.46 -1247.36 -1303.18 -1362.11 -1424.37 -1490.17 -1559.77 -1633.42 -1711.41 -1794.06 -1881.7 -1974.69 -2073.41 -2178.27 -2289.71 -2408.2 -2534.25 -2668.42 -2811.29 -2963.56 -3125.96 -3299.34 -3484.52 -3682.33 -3893.68 -4119.56 -4361.2 -4619.99 -4897.38 -5194.9 -5514.19 -5857.02 -6225.29 -6621.07 -7046.54 -7504.06 -7996.13 -8525.36 -9094.48 -9706.47 -10364.7 -11072.5 -11833.8 -12652.4 -13532 -14476.4 -15489.5 -16575.4 -17738.2 -18981.1 -20307.3 -21719.3 -23218.8 -24807.1 -26484.1 -28248.4 -30097.8 -32029.1 -34038.1 -36118 -38261 -40460.4 -42708.1 -44996.5 -47318.5 -49666.1 -52038.4 -54436.5 -56866.7 -59343.2 -61890.4 -64547.5 -67366.7 -70419.2 -73810.4 -77687.8 -82248.4 -87786.2 -94739.2 -103776 -115969 -133115 -158384 -197808 -263956 -386296 -161532 -1.32986e+06 -3.95788e+06 -2.74685e+07 -8.25663e+08 -2.74685e+07 -3.95788e+06 -1.32986e+06 -161532 -386296 -263956 -197808 -158384 -133115 -115969 -103776 -94739.2 -87786.2 -82248.4 -77687.8 -73810.4 -70419.2 -67366.7 -64547.5 -61890.4 -59343.2 -56866.7 -54436.5 -52038.4 -49666.1 -47318.5 -44996.5 -42708.1 -40460.4 -38261 -36118 -34038.1 -32029.1 -30097.8 -28248.4 -26484.1 -24807.1 -23218.8 -21719.3 -20307.3 -18981.1 -17738.2 -16575.4 -15489.5 -14476.4 -13532 -12652.4 -11833.8 -11072.5 -10364.7 -9706.47 -9094.48 -8525.36 -7996.13 -7504.06 -7046.54 -6621.07 -6225.29 -5857.02 -5514.19 -5194.9 -4897.38 -4619.99 -4361.2 -4119.56 -3893.68 -3682.33 -3484.52 -3299.34 -3125.96 -2963.56 -2811.29 -2668.42 -2534.25 -2408.2 -2289.71 -2178.27 -2073.41 -1974.69 -1881.7 -1794.06 -1711.41 -1633.42 -1559.77 -1490.17 -1424.37 -1362.11 -1303.18 -1247.36 -1194.46 -1144.3 -1096.72 -1051.57 -1008.69 -967.954 -929.241 -892.43 -857.413 -824.087 -792.357
