-0.1 0.05 -596.345
-0.099 0.05 -619.228
-0.098 0.05 -642.828
-0.097 0.05 -667.192
-0.096 0.05 -692.377
-0.095 0.05 -718.452
-0.094 0.05 -745.497
-0.093 0.05 -773.607
-0.092 0.05 -802.891
-0.091 0.05 -833.468
-0.09 0.05 -865.463
-0.089 0.05 -899.014
-0.088 0.05 -934.28
-0.087 0.05 -971.437
-0.086 0.05 -1010.68
-0.085 0.05 -1052.21
-0.084 0.05 -1096.28
-0.083 0.05 -1143.16
-0.082 0.05 -1193.14
-0.081 0.05 -1246.54
-0.08 0.05 -1303.75
-0.079 0.05 -1365.17
-0.078 0.05 -1431.22
-0.077 0.05 -1502.35
-0.076 0.05 -1579.05
-0.075 0.05 -1661.83
-0.074 0.05 -1751.17
-0.073 0.05 -1847.61
-0.072 0.05 -1951.69
-0.071 0.05 -2063.99
-0.07 0.05 -2185.13
-0.069 0.05 -2315.73
-0.068 0.05 -2456.47
-0.067 0.05 -2608.02
-0.066 0.05 -2771.06
-0.065 0.05 -2946.35
-0.064 0.05 -3134.73
-0.063 0.05 -3337.1
-0.062 0.05 -3554.36
-0.061 0.05 -3787.44
-0.06 0.05 -4037.26
-0.059 0.05 -4304.79
-0.058 0.05 -4591.04
-0.057 0.05 -4897.03
-0.056 0.05 -5223.67
-0.055 0.05 -5571.86
-0.054 0.05 -5942.55
-0.053 0.05 -6336.71
-0.052 0.05 -6755.29
-0.051 0.05 -7199.42
-0.05 0.05 -7670.26
-0.049 0.05 -8168.81
-0.048 0.05 -8696.49
-0.047 0.05 -9254.89
-0.046 0.05 -9845.73
-0.045 0.05 -10470.6
-0.044 0.05 -11131
-0.043 0.05 -11829.1
-0.042 0.05 -12566.9
-0.041 0.05 -13346.5
-0.04 0.05 -14169.7
-0.039 0.05 -15038.1
-0.038 0.05 -15953.6
-0.037 0.05 -16918.3
-0.036 0.05 -17934.4
-0.035 0.05 -19003.8
-0.034 0.05 -20128.8
-0.033 0.05 -21312.1
-0.032 0.05 -22557.9
-0.031 0.05 -23871.2
-0.03 0.05 -25258
-0.029 0.05 -26724.2
-0.028 0.05 -28277.5
-0.027 0.05 -29927.7
-0.026 0.05 -31686.2
-0.025 0.05 -33564.2
-0.024 0.05 -35571.7
-0.023 0.05 -37717.8
-0.022 0.05 -40012.7
-0.021 0.05 -42468.4
-0.02 0.05 -45093.6
-0.019 0.05 -47890.1
-0.018 0.05 -50858.2
-0.017 0.05 -54000.7
-0.016 0.05 -57336.5
-0.015 0.05 -60907.2
-0.014 0.05 -64743.6
-0.013 0.05 -68930.1
-0.012 0.05 -73655.1
-0.011 0.05 -79307.7
-0.01 0.05 -86652.1
-0.009 0.05 -96977.8
-0.008 0.05 -112608
-0.007 0.05 -138634
-0.006 0.05 -186738
-0.005 0.05 -285759
-0.004 0.05 -515954
-0.003 0.05 -286467
-0.002 0.05 -3.57099e+06
-0.001 0.05 -2.56998e+07
7.63278e-17 0.05 -8.00447e+08
0.001 0.05 -2.56998e+07
0.002 0.05 -3.57099e+06
0.003 0.05 -286467
0.004 0.05 -515954
0.005 0.05 -285759
0.006 0.05 -186738
0.007 0.05 -138634
0.008 0.05 -112608
0.009 0.05 -96977.8
0.01 0.05 -86652.1
0.011 0.05 -79307.7
0.012 0.05 -73655.1
0.013 0.05 -68930.1
0.014 0.05 -64743.6
0.015 0.05 -60907.2
0.016 0.05 -57336.5
0.017 0.05 -54000.7
0.018 0.05 -50858.2
0.019 0.05 -47890.1
0.02 0.05 -45093.6
0.021 0.05 -42468.4
0.022 0.05 -40012.7
0.023 0.05 -37717.8
0.024 0.05 -35571.7
0.025 0.05 -33564.2
0.026 0.05 -31686.2
0.027 0.05 -29927.7
0.028 0.05 -28277.5
0.029 0.05 -26724.2
0.03 0.05 -25258
0.031 0.05 -23871.2
0.032 0.05 -22557.9
0.033 0.05 -21312.1
0.034 0.05 -20128.8
0.035 0.05 -19003.8
0.036 0.05 -17934.4
0.037 0.05 -16918.3
0.038 0.05 -15953.6
0.039 0.05 -15038.1
0.04 0.05 -14169.7
0.041 0.05 -13346.5
0.042 0.05 -12566.9
0.043 0.05 -11829.1
0.044 0.05 -11131
0.045 0.05 -10470.6
0.046 0.05 -9845.73
0.047 0.05 -9254.89
0.048 0.05 -8696.49
0.049 0.05 -8168.81
0.05 0.05 -7670.26
0.051 0.05 -7199.42
0.052 0.05 -6755.29
0.053 0.05 -6336.71
0.054 0.05 -5942.55
0.055 0.05 -5571.86
0.056 0.05 -5223.67
0.057 0.05 -4897.03
0.058 0.05 -4591.04
0.059 0.05 -4304.79
0.06 0.05 -4037.26
0.061 0.05 -3787.44
0.062 0.05 -3554.36
0.063 0.05 -3337.1
0.064 0.05 -3134.73
0.065 0.05 -2946.35
0.066 0.05 -2771.06
0.067 0.05 -2608.02
0.068 0.05 -2456.47
0.069 0.05 -2315.73
0.07 0.05 -2185.13
0.071 0.05 -2063.99
0.072 0.05 -1951.69
0.073 0.05 -1847.61
0.074 0.05 -1751.17
0.075 0.05 -1661.83
0.076 0.05 -1579.05
0.077 0.05 -1502.35
0.078 0.05 -1431.22
0.079 0.05 -1365.17
0.08 0.05 -1303.75
0.081 0.05 -1246.54
0.082 0.05 -1193.14
0.083 0.05 -1143.16
0.084 0.05 -1096.28
0.085 0.05 -1052.21
0.086 0.05 -1010.68
0.087 0.05 -971.437
0.088 0.05 -934.28
0.089 0.05 -899.014
0.09 0.05 -865.463
0.091 0.05 -833.468
0.092 0.05 -802.891
0.093 0.05 -773.607
0.094 0.05 -745.497
0.095 0.05 -718.452
0.096 0.05 -692.377
0.097 0.05 -667.192
0.098 0.05 -642.828
0.099 0.05 -619.228
0.1 0.05 -596.345
-0.1 0.051 -619.577
-0.099 0.051 -643.357
-0.098 0.051 -667.887
-0.097 0.051 -693.216
-0.096 0.051 -719.399
-0.095 0.051 -746.506
-0.094 0.051 -774.621
-0.093 0.051 -803.845
-0.092 0.051 -834.291
-0.091 0.051 -866.085
-0.09 0.051 -899.357
-0.089 0.051 -934.25
-0.088 0.051 -970.927
-0.087 0.051 -1009.57
-0.086 0.051 -1050.38
