300 563.355 0 0.23579 9.22566 1.72504
301 529.392 0 0.236831 9.18878 1.72868
302 504.157 0 0.237873 9.14057 1.732
303 436.683 0 0.238914 9.08122 1.73499
304 384.761 0 0.239956 9.01107 1.73764
305 343.682 0 0.240997 8.9304 1.73995
306 334.182 0 0.242038 8.83956 1.74192
307 340.173 0 0.243079 8.7389 1.74353
308 334.885 0 0.24412 8.62882 1.7448
309 290.978 0 0.245161 8.50975 1.7457
310 227.036 0 0.246202 8.38212 1.74626
311 155.42 0 0.247243 8.2464 1.74645
312 150.22 0 0.248284 8.10307 1.74629
313 180.777 0 0.249325 7.95261 1.74576
314 172.123 0 0.250366 7.79554 1.74488
315 160.405 0 0.251407 7.63237 1.74365
316 148.187 0 0.252447 7.46363 1.74206
317 120.021 0 0.253488 7.28984 1.74013
318 109.318 0 0.254528 7.11135 1.73784
319 92.0902 0 0.255569 6.92907 1.73521
320 79.1706 0 0.256609 6.74335 1.73225
321 36.5789 0 0.25765 6.55466 1.72895
322 47.4338 0 0.25869 6.36365 1.72533
323 44.9835 0 0.25973 6.17136 1.72142
324 70.5957 0 0.260771 5.97895 1.71734
325 83.038 0 0.261811 5.78393 1.7128
326 83.1194 0 0.262851 5.63084 1.71108
327 79.8128 0 0.263891 5.43471 1.70594
328 91.9024 0 0.264931 5.19951 1.69748
329 80.4498 0 0.265971 5.00378 1.69165
330 87.895 0 0.267011 4.81084 1.68567
331 74.9664 0 0.268051 4.62084 1.67956
332 68.0455 0 0.269091 4.43322 1.67324
333 69.5653 0 0.270131 4.24852 1.66673
334 84.7763 0 0.271171 4.06681 1.66004
335 95.7873 0 0.27221 3.88877 1.6532
336 102.834 0 0.27325 3.71462 1.64622
337 110.212 0 0.27429 3.54593 1.63931
338 104.818 0 0.275329 3.37972 1.63208
339 104.128 0 0.276369 3.23189 1.62785
340 108.34 0 0.277408 3.07486 1.62052
341 128.566 0 0.278448 2.91464 1.61081
342 131.077 0 0.279487 2.77048 1.60388
343 141.622 0 0.280527 2.63213 1.59719
344 162.559 0 0.281566 2.49933 1.59081
345 183.409 0 0.282605 2.37243 1.5849
346 200.99 0 0.283644 2.25103 1.57959
347 225.413 0 0.284684 2.14128 1.57624
348 254.332 0 0.285723 2.02408 1.57138
349 288.197 0 0.286762 1.90684 1.56714
350 352.307 0 0.287801 1.82175 1.56745
351 411.918 0 0.28884 1.73224 1.56709
352 474.892 0 0.289879 1.65221 1.56748
353 515.909 0 0.290918 1.58385 1.5684
354 516.755 0 0.291957 1.52862 1.56948
355 481.565 0 0.292995 1.48744 1.57036
356 425.474 0 0.294034 1.46127 1.57094
357 380.746 0 0.295073 1.44972 1.57108
358 337.192 0 0.296112 1.45198 1.57087
359 310.724 0 0.29715 1.46692 1.57056
360 295.127 0 0.298189 1.49231 1.57034
361 288.94 0 0.299227 1.52655 1.57061
362 286.374 0 0.300266 1.56734 1.5716
363 288.748 0 0.301304 1.60685 1.57258
364 301.408 0 0.302343 1.66248 1.57669
365 309.663 0 0.303381 1.71442 1.58095
366 313.177 0 0.304419 1.7677 1.58619
367 331.008 0 0.305458 1.82209 1.59231
368 342.184 0 0.306496 1.87746 1.5992
369 353.953 0 0.307534 1.93348 1.60666
370 363.304 0 0.308572 1.99015 1.61462
371 367.175 0 0.30961 2.04716 1.62289
372 368.599 0 0.310648 2.11082 1.63393
373 372.128 0 0.311687 2.16143 1.64016
374 378.791 0 0.312725 2.21813 1.64898
375 394.517 0 0.313762 2.2744 1.65788
376 400.758 0 0.3148 2.32963 1.66678
377 404.298 0 0.315838 2.38357 1.67564
378 418.948 0 0.316876 2.43621 1.68444
379 418.235 0 0.317914 2.48723 1.69316
380 434.377 0 0.318952 2.53631 1.70174
381 440.66 0 0.319989 2.5832 1.71016
382 434.714 0 0.321027 2.6404 1.72057
383 428.818 0 0.322064 2.68367 1.72889
384 415.728 0 0.323102 2.70963 1.73442
385 423.67 0 0.32414 2.74632 1.74203
386 441.769 0 0.325177 2.78011 1.7494
387 439.484 0 0.326214 2.81086 1.7565
388 422.162 0 0.327252 2.8385 1.76332
389 415.416 0 0.328289 2.86285 1.76976
390 419.92 0 0.329327 2.88392 1.77597
391 432.521 0 0.330364 2.90195 1.78196
392 432.889 0 0.331401 2.9305 1.78993
393 424.455 0 0.332438 2.941 1.7951
394 414.16 0 0.333475 2.94809 1.79993
395 405.802 0 0.334512 2.95177 1.80442
396 411.015 0 0.33555 2.95206 1.80854
397 413.125 0 0.336587 2.94899 1.81231
398 397.734 0 0.337624 2.94259 1.81571
399 399.36 0 0.33866 2.93289 1.81873
400 385.146 0 0.339697 2.91997 1.82138
401 379.167 0 0.340734 2.90387 1.82365
402 371.257 0 0.341771 2.88467 1.82554
403 359.421 0 0.342808 2.86245 1.82704
404 352.232 0 0.343845 2.8373 1.82815
405 340.514 0 0.344881 2.8093 1.82887
406 332.737 0 0.345918 2.77857 1.8292
407 317.113 0 0.346954 2.74521 1.82915
408 290.504 0 0.347991 2.70934 1.8287
409 285.41 0 0.349028 2.67106 1.82787
410 282.428 0 0.350064 2.63051 1.82664
411 285.741 0 0.3511 2.5878 1.82503
412 265.504 0 0.352137 2.53321 1.82099
413 250.475 0 0.353173 2.48655 1.81857
414 249.97 0 0.35421 2.43813 1.81578
415 247.517 0 0.355246 2.38808 1.81261
416 236.716 0 0.356282 2.33632 1.809
417 216.977 0 0.357318 2.28351 1.80509
418 208.23 0 0.358354 2.22949 1.80084
419 195.488 0 0.359391 2.18473 1.79879
420 188.788 0 0.360427 2.11841 1.79129
